url,suggestedSources,suggestedOutgoing,priority
https://oilandgasclub.com/stress-q-and-a,/blog hub; same-category related posts; matching /category/* hub; breadcrumbs,2–5 related articles + relevant course if exists,P1-technical-first
https://www.blog.oilandgasclub.com/Primavera-Training,/blog hub; same-category related posts; matching /category/* hub; breadcrumbs,2–5 related articles + relevant course if exists,P3-links
https://oilandgasclub.com/caesar-software,/blog hub; same-category related posts; matching /category/* hub; breadcrumbs,2–5 related articles + relevant course if exists,P1-technical-first
https://oilandgasclub.com/types-of-common-fittings,/blog hub; same-category related posts; matching /category/* hub; breadcrumbs,2–5 related articles + relevant course if exists,P1-technical-first
https://oilandgasclub.com/non-destructive-testing,/blog hub; same-category related posts; matching /category/* hub; breadcrumbs,2–5 related articles + relevant course if exists,P1-technical-first
https://oilandgasclub.com/mastering-process-design,/blog hub; same-category related posts; matching /category/* hub; breadcrumbs,2–5 related articles + relevant course if exists,P1-technical-first
https://oilandgasclub.com/a-process-design-course-for-oil-and-gas-professionals,/blog hub; same-category related posts; matching /category/* hub; breadcrumbs,2–5 related articles + relevant course if exists,P1-technical-first
https://oilandgasclub.com/flanges-and-types,/blog hub; same-category related posts; matching /category/* hub; breadcrumbs,2–5 related articles + relevant course if exists,P1-technical-first
https://oilandgasclub.com/conversion-of-units,/blog hub; same-category related posts; matching /category/* hub; breadcrumbs,2–5 related articles + relevant course if exists,P1-technical-first
https://oilandgasclub.com/responsibilities-of-piping-construction-engineers,/blog hub; same-category related posts; matching /category/* hub; breadcrumbs,2–5 related articles + relevant course if exists,P1-technical-first
https://oilandgasclub.com/primavera-training,/blog hub; same-category related posts; matching /category/* hub; breadcrumbs,2–5 related articles + relevant course if exists,P1-technical-first
